Date,Location,CompBenchmark,CompYoYChange,SFDetachBenchmark,SFDetachYoYChange,ApartBenchmark,ApartYoYChange
2020-12-01,Toronto C01,763700.0,-3.89,1191100.0,2.74,641800.0,-5.05
2021-01-01,Toronto C01,765100.0,-4.47,1223300.0,0.87,642100.0,-5.63
2021-02-01,Toronto C01,784200.0,-4.88,1270600.0,1.54,657900.0,-6.04
2021-03-01,Toronto C01,814300.0,-3.77,1310400.0,0.93,684100.0,-4.73
2015-07-01,Toronto C02,928300.0,3.38,1443400.0,4.3,527400.0,0.64
2015-08-01,Toronto C02,906900.0,2.25,1395000.0,3.29,520900.0,1.03
2015-09-01,Toronto C02,922100.0,3.74,1407700.0,2.19,534900.0,5.04
2015-10-01,Toronto C02,924500.0,3.34,1441800.0,5.69,519300.0,-0.53
2015-11-01,Toronto C02,946800.0,6.86,1475900.0,7.32,534000.0,4.76
2015-12-01,Toronto C02,937700.0,6.64,1474300.0,8.39,517000.0,2.26
2016-01-01,Toronto C02,947200.0,5.78,1547200.0,10.91,537400.0,4.96
2016-02-01,Toronto C02,938200.0,5.61,1446500.0,3.93,527700.0,3.56
2016-03-01,Toronto C02,953900.0,4.85,1471900.0,3.4,534100.0,2.35
2016-04-01,Toronto C02,967600.0,3.56,1540800.0,5.82,514300.0,-4.7
2016-05-01,Toronto C02,1002300.0,6.29,1572500.0,6.9,543900.0,0.83
2016-06-01,Toronto C02,1019400.0,9.15,1607400.0,11.55,557800.0,4.0
2016-07-01,Toronto C02,1038400.0,11.87,1632800.0,13.12,568600.0,7.88
2016-08-01,Toronto C02,1054100.0,16.29,1625600.0,16.6,591500.0,13.54
2016-09-01,Toronto C02,1054100.0,14.26,1632000.0,16.0,599600.0,12.04
2016-10-01,Toronto C02,1056900.0,14.33,1641500.0,13.85,603300.0,16.17
2016-11-01,Toronto C02,1056000.0,11.53,1638300.0,11.01,603000.0,12.9
2016-12-01,Toronto C02,1068800.0,14.03,1662100.0,12.68,601900.0,16.4
2017-01-01,Toronto C02,1100700.0,14.39,1692700.0,13.79,627400.0,15.05
2017-02-01,Toronto C02,1138500.0,19.15,1701400.0,16.68,658200.0,21.39
2017-03-01,Toronto C02,1149100.0,18.47,1788600.0,21.01,645300.0,17.54
2017-04-01,Toronto C02,1190300.0,21.46,1901100.0,23.2,648700.0,22.68
2017-05-01,Toronto C02,1215200.0,19.5,1955700.0,23.33,665800.0,19.23
2017-06-01,Toronto C02,1222100.0,17.53,1948700.0,19.44,683200.0,19.36
2017-07-01,Toronto C02,1218300.0,15.98,1892000.0,13.79,695100.0,19.32
2017-08-01,Toronto C02,1166100.0,8.45,1791300.0,8.36,668900.0,10.29
2017-09-01,Toronto C02,1175700.0,9.1,1754500.0,5.53,689100.0,12.3
2017-10-01,Toronto C02,1166100.0,7.59,1752100.0,4.33,681200.0,10.18
2017-11-01,Toronto C02,1187200.0,9.58,1776100.0,5.96,698000.0,13.01
2017-12-01,Toronto C02,1168500.0,7.1,1749800.0,3.69,687700.0,11.6
2018-01-01,Toronto C02,1178600.0,6.53,1758500.0,2.9,700800.0,11.72
2018-02-01,Toronto C02,1179000.0,3.48,1774500.0,3.25,694800.0,5.72
2018-03-01,Toronto C02,1196300.0,3.73,1796100.0,-0.49,703100.0,8.96
2018-04-01,Toronto C02,1255600.0,5.25,1890400.0,-1.46,734200.0,13.18
2018-05-01,Toronto C02,1239800.0,1.69,1883200.0,-4.57,719300.0,8.09
2018-06-01,Toronto C02,1253700.0,2.58,1868800.0,-4.1,735900.0,7.71
2018-07-01,Toronto C02,1241700.0,1.92,1850400.0,-2.2,733900.0,5.57
2018-08-01,Toronto C02,1244500.0,6.52,1837600.0,2.59,733000.0,9.58
2018-09-01,Toronto C02,1236900.0,4.92,1845600.0,5.19,733600.0,6.32
2018-10-01,Toronto C02,1270400.0,8.74,1899200.0,8.39,756100.0,11.0
2018-11-01,Toronto C02,1258900.0,5.84,1894400.0,6.66,745000.0,6.73
2018-12-01,Toronto C02,1274300.0,8.8,1848000.0,5.62,772300.0,12.26
2019-01-01,Toronto C02,1236900.0,4.75,1816900.0,3.32,737300.0,5.2
2019-02-01,Toronto C02,1262800.0,6.9,1767300.0,-0.41,769800.0,10.78
2019-03-01,Toronto C02,1295800.0,8.12,1839200.0,2.4,789400.0,12.28
2019-04-01,Toronto C02,1301600.0,3.47,1843200.0,-2.49,791100.0,7.76
2019-05-01,Toronto C02,1326000.0,6.75,1850400.0,-1.74,816500.0,13.5
2019-06-01,Toronto C02,1336100.0,6.37,1898400.0,1.58,816800.0,10.99
2019-07-01,Toronto C02,1322700.0,6.32,1939100.0,4.7,796600.0,8.54
2019-08-01,Toronto C02,1322200.0,6.24,1904800.0,3.65,801400.0,9.33
2019-09-01,Toronto C02,1307800.0,5.73,1916700.0,3.85,785700.0,7.11
2019-10-01,Toronto C02,1329800.0,4.68,1922300.0,1.22,807400.0,6.78
2019-11-01,Toronto C02,1359600.0,7.99,1938300.0,2.32,835000.0,12.08
2019-12-01,Toronto C02,1361000.0,6.81,1959900.0,6.05,829300.0,7.38
2020-01-01,Toronto C02,1354800.0,9.53,2007000.0,10.47,814200.0,10.43
2020-02-01,Toronto C02,1370600.0,8.54,2005400.0,13.47,827000.0,7.44
2020-03-01,Toronto C02,1373000.0,5.95,1999000.0,8.69,833000.0,5.52
2020-04-01,Toronto C02,1367200.0,5.08,2017400.0,9.4,826800.0,4.5
2020-05-01,Toronto C02,1363200.0,2.05,2003100.0,8.25,816800.0,0.03
2020-06-01,Toronto C02,1343000.0,-0.21,1982300.0,4.42,799400.0,-2.13
2020-07-01,Toronto C02,1423800.0,7.02,2117300.0,9.19,848100.0,6.47
2020-08-01,Toronto C02,1418100.0,6.43,2115700.0,11.07,837600.0,4.51
2020-09-01,Toronto C02,1410400.0,7.21,2085400.0,8.8,837600.0,6.6
2020-10-01,Toronto C02,1399300.0,4.64,2070200.0,7.69,831600.0,3.0
2020-11-01,Toronto C02,1423300.0,4.01,2108500.0,8.78,850100.0,1.81
2020-12-01,Toronto C02,1413700.0,3.34,2112500.0,7.83,838400.0,1.1
2021-01-01,Toronto C02,1409400.0,3.32,2166900.0,8.05,822200.0,1.02
2021-02-01,Toronto C02,1428200.0,3.45,2198800.0,9.82,835900.0,1.03
2021-03-01,Toronto C02,1471500.0,6.4,2317900.0,16.09,849500.0,1.98
2015-07-01,Toronto C03,1068000.0,8.02,1225800.0,7.73,526800.0,2.36
2015-08-01,Toronto C03,1056100.0,9.27,1208400.0,8.73,540000.0,4.66
2015-09-01,Toronto C03,1058200.0,8.04,1207800.0,7.45,541300.0,5.18
2015-10-01,Toronto C03,1077200.0,9.81,1231900.0,9.6,555600.0,6.1
2015-11-01,Toronto C03,1089600.0,9.24,1242700.0,9.27,569100.0,5.23
2015-12-01,Toronto C03,1081300.0,9.2,1237300.0,9.96,550300.0,0.1
2016-01-01,Toronto C03,1072600.0,8.04,1265100.0,11.47,490400.0,-9.51
2016-02-01,Toronto C03,1090600.0,8.28,1237300.0,7.77,577000.0,5.81
2016-03-01,Toronto C03,1103000.0,6.88,1253600.0,6.07,572000.0,6.55
2016-04-01,Toronto C03,1134400.0,8.95,1287400.0,7.5,597900.0,13.95
2016-05-01,Toronto C03,1189000.0,12.85,1359700.0,12.91,604200.0,12.6
2016-06-01,Toronto C03,1209500.0,13.8,1388600.0,14.57,611600.0,12.87
2016-07-01,Toronto C03,1232100.0,15.37,1415100.0,15.49,620800.0,17.74
2016-08-01,Toronto C03,1233700.0,16.76,1426600.0,18.0,604000.0,11.84
2016-09-01,Toronto C03,1240400.0,17.16,1437400.0,18.95,607700.0,12.14
2016-10-01,Toronto C03,1246100.0,15.73,1453700.0,18.0,602900.0,8.61
2016-11-01,Toronto C03,1254800.0,15.16,1461500.0,17.55,606300.0,6.64
2016-12-01,Toronto C03,1271800.0,17.61,1459700.0,17.97,642000.0,16.71
2017-01-01,Toronto C03,1318100.0,18.84,1493800.0,17.8,692100.0,22.14
2017-02-01,Toronto C03,1336900.0,20.31,1517100.0,20.81,705000.0,19.64
2017-03-01,Toronto C03,1429400.0,26.96,1623200.0,27.52,735200.0,24.83
2017-04-01,Toronto C03,1519300.0,31.05,1734900.0,32.65,769700.0,24.83
2017-05-01,Toronto C03,1555800.0,27.92,1774700.0,28.52,794900.0,26.34
2017-06-01,Toronto C03,1554400.0,25.6,1767500.0,25.1,814400.0,28.04
2017-07-01,Toronto C03,1513600.0,20.12,1681500.0,16.82,838100.0,30.04
2017-08-01,Toronto C03,1441000.0,14.07,1596600.0,10.13,802000.0,26.46
2017-09-01,Toronto C03,1412700.0,11.1,1556700.0,6.43,788600.0,23.22
2017-10-01,Toronto C03,1436800.0,12.39,1577000.0,6.78,807300.0,25.62
2017-11-01,Toronto C03,1459300.0,13.32,1613200.0,8.52,804100.0,24.57
2017-12-01,Toronto C03,1460300.0,11.81,1607100.0,8.19,815400.0,20.16
2018-01-01,Toronto C03,1456700.0,10.42,1592300.0,6.36,828900.0,19.9
2018-02-01,Toronto C03,1493300.0,11.61,1629800.0,7.24,850700.0,20.76
2018-03-01,Toronto C03,1520400.0,6.29,1658100.0,1.97,864100.0,17.53
2018-04-01,Toronto C03,1535100.0,0.96,1690700.0,-2.76,842000.0,9.4
2018-05-01,Toronto C03,1541400.0,-1.01,1683900.0,-5.29,867300.0,9.1
2018-06-01,Toronto C03,1531900.0,-1.45,1663000.0,-5.91,881200.0,8.2
2018-07-01,Toronto C03,1522500.0,0.59,1646400.0,-2.08,874100.0,4.3
2018-08-01,Toronto C03,1514700.0,5.19,1645800.0,3.08,866600.0,8.55
2018-09-01,Toronto C03,1518900.0,6.72,1651300.0,6.08,874200.0,8.44
